City,Country,Date,Medium,Page,Region,Section,Section (group),Exits,Goal Conversion Rate,Number of Records,Pageviews,Pageviews per Visitor,Time on Page,Time on Page per Visitor,Total Downloads,Unique Visitors,Visits
Oxford,United Kingdom,11/15/2014,(none),/gallery/chances-rainfall,Europe,Examples,Case Studies,40,0.0023,1,92,2.3,1760,44,0.2484,40,108
Milan,Italy,11/15/2014,organic,/gallery/mlb-free-agent-leaderboards,Europe,Examples,Case Studies,80,0.0026,1,288,3.6,10240,128,1.1232,80,432
Bratislava,Slovakia,11/15/2014,organic,/gallery/mobile-os-market-share,Europe,Examples,Case Studies,100,0.0033,1,300,3,6700,67,0.891,100,270
Trelleborg,Sweden,11/15/2014,organic,/gallery,Europe,Examples,Case Studies,0,0.0022,1,420,4.2,1680,16.8,1.056,100,480
London,United Kingdom,11/15/2014,organic,/gallery,Europe,Examples,Case Studies,0,0.0024,1,64,1.6,1940,48.5,0.5664,40,236
Dorchester,United Kingdom,11/15/2014,organic,/gallery?elq=8674786faea749ae8ecc8de54cf252d8,Europe,Examples,Case Studies,0,0.0017,1,164,4.1,1268,31.7,0.3536,40,208
London,United Kingdom,11/15/2014,organic,/gallery/game-reviews,Europe,Examples,Case Studies,40,0.0037,1,144,3.6,3600,90,0.8436,40,228
Bristol,United Kingdom,11/15/2014,organic,/gallery/how-common-your-birthday,Europe,Examples,Case Studies,40,0.0034,1,64,1.6,3920,98,0.4896,40,144
Teddington,United Kingdom,11/15/2014,organic,/gallery/investor-relations,Europe,Examples,Case Studies,40,0.041666667,1,156,3.9,1268,31.7,4,40,96
Strasbourg,France,11/15/2014,referral,/gallery,Europe,Examples,Case Studies,80,0.0017,1,80,1,6960,87,0.4216,80,248
Leeds,United Kingdom,11/15/2014,referral,/gallery,Europe,Examples,Case Studies,40,0.0033,1,132,3.3,4800,120,0.594,40,180
London,United Kingdom,11/15/2014,referral,/gallery/mapping-drug-prevalence,Europe,Examples,Case Studies,40,0.026315789,1,160,4,80,2,4,40,152
London,United Kingdom,11/15/2014,referral,/gallery/taleof100,Europe,Examples,Case Studies,40,0.0035,1,60,1.5,3800,95,0.784,40,224
Milton Keynes,United Kingdom,11/15/2014,referral,/gallery/twitter-leading-indicator,Europe,Examples,Case Studies,0,0.0019,1,64,1.6,29200,730,0.3344,40,176
London,United Kingdom,11/15/2014,referral,/gallery/why-do-customers-change-banks,Europe,Examples,Case Studies,80,0.0011,1,140,1.75,4480,56,0.2508,80,228
Arhus,Denmark,11/15/2014,(none),/download,Europe,Register,Events/Training,100,0.0035,1,680,3.4,1190,5.95,1.89,200,540
Baerum,Norway,11/15/2014,(none),/download,Europe,Register,Events/Training,0,0.011538462,1,430,1.869565217,1580,6.869565217,3,230,260
Oslo,Norway,11/15/2014,(none),/download,Europe,Register,Events/Training,0,0.002439024,1,270,4.821428571,37090,662.321428571,1,56,410
Paris,France,11/15/2014,cpc,/download,Europe,Register,Events/Training,0,0.0019,1,232,2.9,36872,460.9,0.684,80,360
Hornu,Belgium,11/15/2014,organic,/download,Europe,Register,Events/Training,100,0.0016,1,310,3.1,11400,114,0.72,100,450
Barcelona,Spain,11/15/2014,organic,/download,Europe,Register,Events/Training,80,0.0039,1,280,3.5,1104,13.8,1.6224,80,416
London,United Kingdom,11/15/2014,organic,/download,Europe,Register,Events/Training,0,0.0016,1,92,2.3,196,4.9,0.2496,40,156
Arhus,Denmark,11/15/2014,referral,/download,Europe,Register,Events/Training,0,0.0031,1,480,4.8,2180,21.8,1.488,100,480
Dublin,Ireland,11/15/2014,referral,/download,Europe,Register,Events/Training,100,0.017543860,1,830,2.371428571,1980,5.657142857,10,350,570
Torino,Italy,11/15/2014,referral,/examples,Europe,Training,Events/Training,80,0.0024,1,200,2.5,7680,96,0.5184,80,216
Brussels,Belgium,11/15/2014,(none),index.htm,Europe,User,User Generated,70,0.0034,1,90,1.285714286,9870,141,0.85,70,250
Arhus,Denmark,11/15/2014,(none),index.htm,Europe,User,User Generated,170,0.0027,1,390,2.294117647,156480,920.470588235,1.809,170,670
Roubaix,France,11/15/2014,(none),index.htm,Europe,User,User Generated,72,0.052631579,1,248,3.444444444,5328,74,8,72,152
Dublin,Ireland,11/15/2014,(none),index.htm,Europe,User,User Generated,70,0.002,1,100,2.222222222,10290,228.666666667,1.02,45,510
Naples,Italy,11/15/2014,(none),index.htm,Europe,User,User Generated,80,0.0015,1,240,1.2,8544,42.72,0.54,200,360
Padova,Italy,11/15/2014,(none),index.htm,Europe,User,User Generated,48,0.0018,1,200,4.166666667,2976,62,0.5616,48,312
Bradford,United Kingdom,11/15/2014,(none),index.htm,Europe,User,User Generated,36,0.001,1,96,2.666666667,3096,86,0.228,36,228
Brighton,United Kingdom,11/15/2014,(none),index.htm,Europe,User,User Generated,40,0.0039,1,316,3.761904762,123880,1474.761904762,1.0452,84,268
Glasgow,United Kingdom,11/15/2014,(none),index.htm,Europe,User,User Generated,28,0.0013,1,84,3,4256,152,0.1508,28,116
London,United Kingdom,11/15/2014,(none),index.htm,Europe,User,User Generated,60,0.0022,1,212,3.533333333,7440,124,0.6072,60,276
Tewkesbury,United Kingdom,11/15/2014,(none),index.htm,Europe,User,User Generated,28,0.021739130,1,120,4.285714286,69636,2487,4,28,184
Helsinki,Finland,11/15/2014,organic,/,Europe,User,User Generated,100,0.0011,1,180,1.8,5400,54,0.66,100,600
Dublin,Ireland,11/15/2014,organic,/,Europe,User,User Generated,0,0.0017,1,370,4.111111111,1190,13.222222222,0.578,90,340
Amsterdam,Netherlands,11/15/2014,organic,/,Europe,User,User Generated,80,0.0019,1,584,3.65,472,2.95,0.6536,160,344
Leiden,Netherlands,11/15/2014,organic,/,Europe,User,User Generated,80,0.0018,1,144,1.8,13280,166,0.432,80,240
Khimki,Russia,11/15/2014,organic,/,Europe,User,User Generated,0,0.0037,1,350,3.5,790,7.9,1.628,100,440
Barcelona,Spain,11/15/2014,organic,/,Europe,User,User Generated,0,0.0036,1,312,3.9,1664,20.8,0.9504,80,264
Valencia,Spain,11/15/2014,organic,/,Europe,User,User Generated,0,0.004,1,280,3.5,472,5.9,1.632,80,408
Trelleborg,Sweden,11/15/2014,organic,/,Europe,User,User Generated,0,0.0025,1,450,4.5,1880,18.8,0.725,100,290
Daventry,United Kingdom,11/15/2014,organic,/,Europe,User,User Generated,40,0.0023,1,80,2,160,4,0.2576,40,112
Velizy-Villacoublay,France,11/15/2014,referral,/,Europe,User,User Generated,0,0.0035,1,272,3.4,632,7.9,0.98,80,280
Padova,Italy,11/15/2014,referral,/,Europe,User,User Generated,0,0.004,1,280,3.5,24376,304.7,0.928,80,232
Eindhoven,Netherlands,11/15/2014,referral,/,Europe,User,User Generated,80,0.002,1,104,1.3,6160,77,0.8,80,400
London,United Kingdom,11/15/2014,referral,/election-piece-2012,Europe,User,User Generated,40,0.021739130,1,164,4.1,5200,130,4,40,184
Plymouth,United Kingdom,11/15/2014,referral,/how-it-works,Europe,User,User Generated,40,0.0031,1,220,3.666666667,9900,165,0.4712,60,152
Cambridge,United States,11/15/2014,(none),/gallery/all,North America,Examples,Case Studies,10,0.001,1,33,3.3,643,64.3,0.042,10,42
Bethesda,United States,11/15/2014,(none),/gallery/american-league-offensive,North America,Examples,Case Studies,10,0.0032,1,15,1.5,490,49,0.1184,10,37
Eden Prairie,United States,11/15/2014,(none),/gallery/chances-rainfall,North America,Examples,Case Studies,10,0.0016,1,25,2.5,1190,119,0.072,10,45
Hockessin,United States,11/15/2014,(none),/gallery/chances-rainfall,North America,Examples,Case Studies,10,0.0039,1,31,3.1,1650,165,0.1521,10,39
Oklahoma City,United States,11/15/2014,(none),/gallery/chances-rainfall,North America,Examples,Case Studies,10,0.0026,1,13,1.3,475,47.5,0.1196,10,46
Ridgefield,United States,11/15/2014,(none),/gallery/chances-rainfall,North America,Examples,Case Studies,10,0.0023,1,26,2.6,1160,116,0.1012,10,44
Seattle,United States,11/15/2014,(none),/gallery/chances-rainfall,North America,Examples,Case Studies,10,0.026315789,1,30,3,740,74,1,10,38
Eden Prairie,United States,11/15/2014,(none),/gallery/food-business-growing,North America,Examples,Case Studies,10,0.0026,1,44,4.4,1330,133,0.1508,10,58
Atlanta,United States,11/15/2014,(none),/gallery/outlook-us-home-values,North America,Examples,Case Studies,10,0.0037,1,43,4.3,1100,110,0.2183,10,59
Floral Park,United States,11/15/2014,(none),/gallery/why-do-customers-change-banks,North America,Examples,Case Studies,0,0.0014,1,16,1.6,2582,258.2,0.0336,10,24
Schaumburg,United States,11/15/2014,cpc,/gallery,North America,Examples,Case Studies,0,0.0022,1,18,1.8,307,30.7,0.0726,10,33
Libertyville,United States,11/15/2014,cpc,/gallery/chances-rainfall,North America,Examples,Case Studies,10,0.0026,1,30,3,550,55,0.0858,10,33
Schaumburg,United States,11/15/2014,cpc,/gallery/netflix-selector,North America,Examples,Case Studies,0,0.0018,1,28,2.8,168,16.8,0.0486,10,27
Palo Alto,United States,11/15/2014,email,/gallery/chances-rainfall,North America,Examples,Case Studies,0,0.0017,1,27,2.7,247,24.7,0.0816,10,48
Rochester,United States,11/15/2014,email,/gallery/chances-rainfall,North America,Examples,Case Studies,10,0.002,1,41,4.1,1180,118,0.046,10,23
Quebec,Canada,11/15/2014,organic,/gallery/how-burn-most-calories,North America,Examples,Case Studies,60,0.0025,1,72,1.2,7800,130,0.435,60,174
Dallas,United States,11/15/2014,organic,/gallery,North America,Examples,Case Studies,0,0.002,1,39,3.9,317,31.7,0.076,10,38
New York,United States,11/15/2014,organic,/gallery,North America,Examples,Case Studies,0,0.0038,1,89,4.45,732,36.6,0.1482,20,39
Torrance,United States,11/15/2014,organic,/gallery,North America,Examples,Case Studies,0,0.0032,1,26,2.6,14560,1456,0.0992,10,31
Libertyville,United States,11/15/2014,organic,/gallery/chances-rainfall,North America,Examples,Case Studies,10,0.0026,1,34,3.4,1000,100,0.1352,10,52
Seattle,United States,11/15/2014,organic,/gallery/chances-rainfall,North America,Examples,Case Studies,20,0.0037,1,90,4.5,1720,86,0.1369,20,37
Tallahassee,United States,11/15/2014,organic,/gallery/chances-rainfall,North America,Examples,Case Studies,10,0.0027,1,26,2.6,1160,116,0.0648,10,24
Washington,United States,11/15/2014,organic,/gallery/chances-rainfall,North America,Examples,Case Studies,10,0.021739130,1,46,4.6,510,51,1,10,46
New York,United States,11/15/2014,organic,/gallery/college-football-recruiting,North America,Examples,Case Studies,10,0.018518519,1,21,2.1,227,22.7,1,10,54
Farmingdale,United States,11/15/2014,organic,/gallery/cost-big-mac-around-globe,North America,Examples,Case Studies,10,0.001,1,37,3.7,840,84,0.034,10,34
Austin,United States,11/15/2014,organic,/gallery/nk-leadership-tracker,North America,Examples,Case Studies,10,0.0031,1,18,1.8,99,9.9,0.124,10,40
La Jolla,United States,11/15/2014,organic,/gallery/unemployment-joe-mako,North America,Examples,Case Studies,10,0.022222222,1,48,4.8,1680,168,1,10,45
Raleigh,United States,11/15/2014,organic,/gallery/unemployment-joe-mako,North America,Examples,Case Studies,10,0.038461538,1,15,1.5,1000,100,1,10,26
Denver,United States,11/15/2014,organic,/gallery/us-population-race,North America,Examples,Case Studies,10,0.0029,1,49,4.9,590,59,0.0696,10,24
Las Vegas,United States,11/15/2014,organic,/gallery/us-population-race,North America,Examples,Case Studies,10,0.0031,1,31,3.1,1300,130,0.1116,10,36
Los Angeles,United States,11/15/2014,organic,/gallery/us-population-race,North America,Examples,Case Studies,10,0.003,1,46,4.6,510,51,0.084,10,28
South Bend,United States,11/15/2014,organic,/gallery/us-population-race,North America,Examples,Case Studies,10,0.0019,1,37,3.7,1200,120,0.0893,10,47
St Louis,United States,11/15/2014,organic,/gallery/us-population-race,North America,Examples,Case Studies,10,0.004,1,21,2.1,1250,125,0.176,10,44
Washington,United States,11/15/2014,organic,/gallery/weiskopf-patent-trends,North America,Examples,Case Studies,0,0.0014,1,24,2.4,1345,134.5,0.0504,10,36
Libertyville,United States,11/15/2014,organic,/gallery/why-do-customers-change-banks,North America,Examples,Case Studies,10,0.0016,1,48,4.8,780,78,0.0848,10,53
Portland,United States,11/15/2014,organic,/gallery/why-do-customers-change-banks,North America,Examples,Case Studies,10,0.001,1,41,4.1,580,58,0.052,10,52
Cottam,Canada,11/15/2014,referral,/gallery,North America,Examples,Case Studies,60,0.0037,1,192,3.2,3360,56,1.2432,60,336
Chattanooga,United States,11/15/2014,referral,/gallery,North America,Examples,Case Studies,10,0.004,1,36,3.6,1440,144,0.176,10,44
Dallas,United States,11/15/2014,referral,/gallery,North America,Examples,Case Studies,0,0.001,1,11,1.1,49,4.9,0.048,10,48
Las Vegas,United States,11/15/2014,referral,/gallery,North America,Examples,Case Studies,10,0.002,1,45,4.5,138,13.8,0.066,10,33
Dayton,United States,11/15/2014,referral,/gallery/are-you-ready-some-football,North America,Examples,Case Studies,0,0.0029,1,45,4.5,188,18.8,0.0812,10,28
Hartford,United States,11/15/2014,referral,/gallery/chances-rainfall,North America,Examples,Case Studies,10,0.017857143,1,30,3,1190,119,1,10,56
Henderson,United States,11/15/2014,referral,"/gallery/how-burn-most-calories?fb_action_ids=4202087981544&fb_action_types=og.likes&fb_source=other_multiline&action_object_map={""4202087981544"":339963032768596}&action_type_map={""4202087981544"":""og.likes""}&action_ref_map=[]",North America,Examples,Case Studies,10,0.0035,1,28,2.8,510,51,0.21,10,60
Colorado Springs,United States,11/15/2014,referral,/gallery/taleof100,North America,Examples,Case Studies,10,0.0038,1,14,1.4,1280,128,0.1634,10,43
Charlestown,United States,11/15/2014,organic,/download,North America,Register,Events/Training,0,0.0033,1,36,3.6,356,35.6,0.1386,10,42
Greenville,United States,11/15/2014,referral,/download,North America,Register,Events/Training,0,0.0029,1,13,1.3,138,13.8,0.1247,10,43
Houston,United States,11/15/2014,referral,/download,North America,Register,Events/Training,0,0.0027,1,50,5,89,8.9,0.1458,10,54
Roswell,United States,11/15/2014,referral,/download,North America,Register,Events/Training,10,0.0025,1,22,2.2,410,41,0.1325,10,53
Urbana,United States,11/15/2014,referral,/download,North America,Register,Events/Training,0,0.0031,1,12,1.2,109,10.9,0.0992,10,32
Eden Prairie,United States,11/15/2014,organic,/examples,North America,Training,Events/Training,10,0.0035,1,17,1.7,682,68.2,0.196,10,56
New York,United States,11/15/2014,organic,/examples,North America,Training,Events/Training,0,0.0034,1,42,4.2,554,55.4,0.1802,10,53
Midlothian,United States,11/15/2014,referral,/examples?elq=ec9362ed0fb449b7abecfb977a73a8ae,North America,Training,Events/Training,0,0.0018,1,25,2.5,69,6.9,0.0666,10,37
Montreal,Canada,11/15/2014,(none),index.htm,North America,User,User Generated,60,0.0012,1,414,3.631578947,30150,264.473684211,0.2448,114,204
Vancouver,Canada,11/15/2014,(none),index.htm,North America,User,User Generated,18,0.0018,1,48,2.666666667,2664,148,0.324,18,180
Nashville,United States,11/15/2014,(none),/,North America,User,User Generated,0,0.0037,1,26,2.6,148,14.8,0.1887,10,51
New York,United States,11/15/2014,(none),/,North America,User,User Generated,0,0.0037,1,32,3.2,297,29.7,0.1591,10,43
Statesboro,United States,11/15/2014,(none),/app/6.0/start,North America,User,User Generated,10,0.033333333,1,37,3.7,780,78,1,10,30
Washington,United States,11/15/2014,(none),/how-it-works,North America,User,User Generated,0,0.0017,1,2,2,11731,11731,0.0527,1,31
San Diego,United States,11/15/2014,(none),/thanks,North America,User,User Generated,10,0.0012,1,26,2,16390,1260.769230769,0.0336,13,28
Athens,United States,11/15/2014,(none),index.htm,North America,User,User Generated,2,0.0015,1,5,2.5,445,222.5,0.051,2,34
Boston,United States,11/15/2014,(none),index.htm,North America,User,User Generated,11,0.0028,1,28,2.545454545,924,84,0.1092,11,39
Burlington,United States,11/15/2014,(none),index.htm,North America,User,User Generated,18,0.0024,1,37,2.055555556,148,8.222222222,0.1536,18,64
Butler,United States,11/15/2014,(none),index.htm,North America,User,User Generated,0,0.0039,1,46,3.066666667,593,39.533333333,0.1248,15,32
Cleveland,United States,11/15/2014,(none),index.htm,North America,User,User Generated,10,0.018867925,1,32,2,6419,401.1875,1,16,53
Dallas,United States,11/15/2014,(none),index.htm,North America,User,User Generated,5,0.0031,1,19,3.8,3818,763.6,0.0775,5,25
Davenport,United States,11/15/2014,(none),index.htm,North America,User,User Generated,8,0.0036,1,22,2.75,776,97,0.0936,8,26
Hiram,United States,11/15/2014,(none),index.htm,North America,User,User Generated,4,0.0039,1,16,4,420,105,0.0585,4,15
Iowa City,United States,11/15/2014,(none),index.htm,North America,User,User Generated,10,0.001,1,44,2.444444444,4501,250.055555556,0.047,18,47
Kansas City,United States,11/15/2014,(none),index.htm,North America,User,User Generated,10,0.0038,1,50,3.571428571,38656,2761.142857143,0.2128,14,56
New York,United States,11/15/2014,(none),index.htm,North America,User,User Generated,7,0.0028,1,15,2.142857143,770,110,0.14,7,50
Redding,United States,11/15/2014,(none),index.htm,North America,User,User Generated,5,0.0032,1,7,1.4,270,54,0.0672,5,21
San Francisco,United States,11/15/2014,(none),index.htm,North America,User,User Generated,4,0.0015,1,9,2.25,260,65,0.0345,4,23
Seymour,United States,11/15/2014,(none),index.htm,North America,User,User Generated,8,0.0016,1,16,2,384,48,0.0848,8,53
Westborough,United States,11/15/2014,(none),index.htm,North America,User,User Generated,9,0.0023,1,37,4.111111111,450,50,0.1012,9,44
Wyandanch,United States,11/15/2014,(none),index.htm,North America,User,User Generated,1,0.0017,1,1,1,166,166,0.0527,1,31
Montreal,Canada,11/15/2014,organic,/knowledgebase/sharing-views,North America,User,User Generated,0,0.0024,1,150,2.272727273,66648,1009.818181818,0.6624,66,276
Montreal,Canada,11/15/2014,organic,index.htm,North America,User,User Generated,60,0.0025,1,66,1,259644,3934,0.57,66,228
Raritan,United States,11/15/2014,organic,,North America,User,User Generated,10,0.0018,1,60,3.75,864,54,0.0576,16,32
Albany,United States,11/15/2014,organic,/,North America,User,User Generated,0,0.0021,1,46,4.6,138,13.8,0.0588,10,28
Andover,United States,11/15/2014,organic,/,North America,User,User Generated,0,0.0027,1,17,1.7,10247,1024.7,0.0891,10,33
Charlestown,United States,11/15/2014,organic,/,North America,User,User Generated,10,0.0013,1,28,2.8,208,20.8,0.026,10,20
Charlotte,United States,11/15/2014,organic,/,North America,User,User Generated,10,0.0023,1,31,3.1,910,91,0.115,10,50
Chicago,United States,11/15/2014,organic,/,North America,User,User Generated,10,0.034482759,1,46,4.6,1670,167,1,10,29
Franklin,United States,11/15/2014,organic,/,North America,User,User Generated,0,0.032258065,1,31,3.1,49,4.9,1,10,31
Lebanon,United States,11/15/2014,organic,/,North America,User,User Generated,10,0.003,1,31,3.1,1570,157,0.117,10,39
New York,United States,11/15/2014,organic,/,North America,User,User Generated,10,0.001,1,28,1.4,69,3.45,0.038,20,38
Oakdale,United States,11/15/2014,organic,/,North America,User,User Generated,10,0.0024,1,16,1.6,99,9.9,0.0864,10,36
Reston,United States,11/15/2014,organic,/,North America,User,User Generated,0,0.0038,1,17,1.7,99,9.9,0.1064,10,28
Seattle,United States,11/15/2014,organic,/,North America,User,User Generated,20,0.0023,1,122,4.066666667,49,1.633333333,0.1564,30,68
Trenton,United States,11/15/2014,organic,/,North America,User,User Generated,0,0.0023,1,36,3.6,69,6.9,0.0897,10,39
Raritan,United States,11/15/2014,organic,/faq,North America,User,User Generated,10,0.0012,1,41,4.1,1650,165,0.0264,10,22
Spartanburg,United States,11/15/2014,organic,/filter/tips,North America,User,User Generated,10,0.0014,1,44,4.4,1470,147,0.0532,10,38
Daytona Beach,United States,11/15/2014,organic,/how-it-works,North America,User,User Generated,10,0.0012,1,88,3.034482759,1856,64,0.0828,29,69
Waukesha,United States,11/15/2014,organic,/how-it-works,North America,User,User Generated,10,0.0034,1,30,3,1630,163,0.204,10,60
Irving,United States,11/15/2014,organic,/knowledgebase/all?page=1,North America,User,User Generated,0,0.0039,1,37,2.055555556,999,55.5,0.195,18,50
Los Angeles,United States,11/15/2014,organic,/knowledgebase/all?page=1,North America,User,User Generated,10,0.0015,1,32,2.909090909,748,68,0.045,11,30
San Francisco,United States,11/15/2014,organic,/knowledgebase/best-practices-designing-piecees-and-dashboards,North America,User,User Generated,4,0.0019,1,7,1.75,392,98,0.0741,4,39
Charlotte,United States,11/15/2014,organic,/knowledgebase/sharing-views,North America,User,User Generated,10,0.0013,1,35,3.181818182,440,40,0.0351,11,27
Chicago,United States,11/15/2014,organic,/knowledgebase/sharing-views,North America,User,User Generated,10,0.0015,1,75,3.409090909,3454,157,0.0855,22,57
Westchester,United States,11/15/2014,organic,/node/1659,North America,User,User Generated,10,0.0014,1,107,4.28,1325,53,0.098,25,70
Durham,United States,11/15/2014,organic,index.htm,North America,User,User Generated,0,0.0021,1,43,1.954545455,4046,183.909090909,0.1176,22,56
Seattle,United States,11/15/2014,organic,index.htm,North America,User,User Generated,13,0.003,1,18,1.384615385,29090,2237.692307692,0.102,13,34
Ottawa,Canada,11/15/2014,referral,index.htm,North America,User,User Generated,36,0.004,1,126,3.5,5652,157,0.6,36,150
Bloomington,United States,11/15/2014,referral,/,North America,User,User Generated,10,0.004,1,50,5,570,57,0.084,10,21
Sunnyvale,United States,11/15/2014,referral,/,North America,User,User Generated,0,0.0013,1,27,2.7,208,20.8,0.0585,10,45
New York,United States,11/15/2014,referral,/knowledgebase/sharing-views,North America,User,User Generated,6,0.003,1,22,3.666666667,588,98,0.093,6,31
New York,United States,11/15/2014,referral,index.htm,North America,User,User Generated,10,0.0011,1,37,1.761904762,38981,1856.238095238,0.0682,21,62
Auckland,New Zealand,11/15/2014,organic,/gallery/freakalyticsstockmarket,Oceania,Examples,Case Studies,100,0.0017,1,120,2.666666667,8700,193.333333333,0.578,45,340
Auckland,New Zealand,11/15/2014,organic,/download,Oceania,Register,Events/Training,100,0.0033,1,100,1.886792453,1580,29.811320755,1.683,53,510
Brisbane,Australia,11/15/2014,(none),index.htm,Oceania,User,User Generated,102,0.034482759,1,216,2.117647059,6882,67.470588235,6,102,174
Melbourne,Australia,11/15/2014,(none),index.htm,Oceania,User,User Generated,84,0.0021,1,318,3.785714286,74718,889.5,0.6426,84,306
Melbourne,Australia,11/15/2014,organic,/,Oceania,User,User Generated,0,0.004,1,168,2.8,71334,1188.9,0.912,60,228
Melbourne,Australia,11/15/2014,organic,/our-story,Oceania,User,User Generated,0,0.0015,1,444,3.523809524,8190,65,0.45,126,300
Launceston,Australia,11/15/2014,referral,/how-it-works,Oceania,User,User Generated,60,0.015625,1,222,2.3125,15168,158,6,96,384
Buenos Aires,Argentina,11/15/2014,referral,/download,South America,Register,Events/Training,60,0.0021,1,528,4.4,3024,25.2,0.7434,120,354
Cordoba,Argentina,11/15/2014,referral,/download,South America,Register,Events/Training,60,0.0024,1,174,2.9,10500,175,0.864,60,360
Lomas de Zamora,Argentina,11/15/2014,referral,/download,South America,Register,Events/Training,60,0.041666667,1,96,1.6,3780,63,6,60,144
Vincente Lopez,Argentina,11/15/2014,referral,/download,South America,Register,Events/Training,0,0.0031,1,96,1.6,1128,18.8,0.744,60,240
Balcarce,Argentina,11/15/2014,(none),index.htm,South America,User,User Generated,48,0.001,1,144,3,6576,137,0.15,48,150
Buenos Aires,Argentina,11/15/2014,(none),index.htm,South America,User,User Generated,18,0.0022,1,18,1,2988,166,0.4884,18,222
